title,link,schedule,location_name,address,tag,description
“STARSHIP Featuring Mickey Thomas” Coming To The Palace Theatre March 16TH,https://www.pghcitypaper.com/pittsburgh/starship-featuring-mickey-thomas-coming-to-the-palace-theatre-march-16th/Event?oid=27351622,"Sun., March 16, 6-8 p.m.",Palace Theatre,"21 W Otterman St, Greensburg
Greensburg",Rock,"Mickey Thomas is the owner of the soaring voice that propelled STARSHIP through the decade of the 80’s. With his soulful and compelling vocals, Mickey has established himself as one of Rock Music’s most recognizable stars. The group was renamed STARSHIP in 1985 and went on to record three #1 hit songs including “We Built This City”, “Sara”, and “Nothing’s Gonna Stop Us Now”, from the film, Mannequin, which also was an Academy Award nominee. “STARSHIP Featuring Mickey Thomas” is coming to The Palace Theatre on Sunday, March 16th, 2025 at 6pm at Greensburg’s Palace Theatre. 7248368000"
Joanna Connor,https://www.pghcitypaper.com/pittsburgh/joanna-connor/Event?oid=27539408,"Sun., March 16, 7-10 p.m.",Moondog's,"378 Freeport Road, Blawnox
Blawnox",Blues,Joanna Connor 412-828-2040
Moriarty Science Seminar: Using Bird Banding Datasets to Track Trends in Bird Populations,https://www.pghcitypaper.com/pittsburgh/moriarty-science-seminar-using-bird-banding-datasets-to-track-trends-in-bird-populations/Event?oid=27144059,"Mon., March 17, 12-1 p.m.",Carnegie Museum of Natural History - Earth Theater,"4400 Forbes Avenue, Pittsburgh
Downtown",Lecture,Carnegie Museum of Natural History’s scientific research staff and invited speakers discuss their latest findings on numerous scientific topics at the R.W. Moriarty Science Seminar series. 4126223131
"Phi Beta Kappa Visiting Scholar Lecture: Immigration ""Crisis"" at the Border",https://www.pghcitypaper.com/pittsburgh/phi-beta-kappa-visiting-scholar-lecture-immigration-crisis-at-the-border/Event?oid=27586119,"Mon., March 17, 5-6:30 p.m.",Vickie McKay,"Carnegie Mellon University (Porter Hall 100, Gregg Learning Hall), Pittsburgh
Squirrel Hill",Lecture,"Professor Geraldo Cadava (Northwestern University Professor of History and Latina and Latino Studies) will discuss how Immigration policy has changed over time, how the border evolved, and what makes the present situation both similar to and different than earlier moments of crisis. 4122683714"
St. Patrick's Day reunion: Corned Beef & Curry Band at Crafthouse Stage & Grill,https://www.pghcitypaper.com/pittsburgh/st-patricks-day-reunion-corned-beef-and-curry-band-at-crafthouse-stage-and-grill/Event?oid=27481048,"Mon., March 17, 6-10 p.m.",Crafthouse Stage & Grill,"5024 Curry Road, Pittsburgh
Overbrook",Holiday Music,An evening of your favorite Irish and classic rock favorites from the one and only Corned Beef & Curry Band and special guests. Be ready for a FULL COURSE of Irish flavored fun! Doors will open at 3p Be sure to stop in early for Happy Hour from 3:30p-6:30p - it is St. Patrick's Day after all! There is a $5 cover charge starting at 5p Reservations are suggested to guarantee seating. Please call 412.653.2695 412-653-2695
Abbots Cross - St. Patrick’s Day Celebration!,https://www.pghcitypaper.com/pittsburgh/abbots-cross-st-patricks-day-celebration/Event?oid=27560020,"Mon., March 17, 7-8:30 p.m.",City Winery Pittsburgh,"1627 Smallman Street, Pittsburgh
Strip District",World,"City Winery Pittsburgh presents Abbots Cross - St. Patrick's Day Celebration live on Monday, March 17th, 2025, at 7:00 PM! Doors open at 5:30. Celebrate St. Patrick's Day with City Winery and Abbots Cross, a Celtic musical ensemble seamlessly blending traditional and modern tunes. Immerse yourself in the rich melodies that bridge the past and present, promising an unforgettable musical journey while celebrating the green with World-Class Wine and our special pairing menu. 4122461000"
Rostraver Sportsmen Club Member Meeting,https://www.pghcitypaper.com/pittsburgh/rostraver-sportsmen-club-member-meeting/Event?oid=27581965,"Third Monday of every month, 7:30-8:30 p.m.",,,Community,Please join us for our monthly meeting. All members are encouraged to attend.
Roll for Insight: Community-Building RPG Club,https://www.pghcitypaper.com/pittsburgh/roll-for-insight-community-building-rpg-club/Event?oid=27527081,"Every other Monday, 5:30-7:30 p.m. Continues through July 28",Jewish Community Center of Greater Pittsburgh,"5738 Darlington Rd, Pittsburgh
Squirrel Hill",Games,"Meet every other week on Mondays from 5:30pm-7:30pm to connect and grow with new friends through playing tabletop role playing games designed to inspire emotional depth! We’ll band together to use RPGs to explore the intersection of identity, emotional resiliency, and games, to fight isolation and disconnection, and to meet new people and form friendships. We will play one-shots, longer campaigns, well-known titles and indies, and we will use time before and after the game to find grounding, connect, discuss, and reflect on these often-silly but sometimes profound forms of art and play. 412 697 3534"
An Evening with Edgar Allan Poe,https://www.pghcitypaper.com/pittsburgh/an-evening-with-edgar-allan-poe/Event?oid=24931930,"17th of every month, 6 p.m.",Seton-La Salle High School,"1000 McNeilly Rd., Pittsburgh
Mt. Lebanon",Theater,"Will you dare enter the horrifying mind of Edgar Allan Poe? Come join us for a spooky night of theater in the Auditorium at Seton LaSalle Catholic High School, Friday, November 17 and Saturday, November 18, Fall Drama! An Evening with Edgar Allan Poe will take you into the creepiest of Poe's stories, such as ""The Tell-Tale Heart"" and ""The Cask of Amontillado""! Reception 6pm.Curtain 7pm. 412-561-3583"
Philosophical Self-inquiry Discussion Group,https://www.pghcitypaper.com/pittsburgh/philosophical-self-inquiry-discussion-group/Event?oid=1431115,"Every other Monday, 6-8 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh
Oakland",Other Stuff,412-622-3114
PGHwrites: Free Association Reading Series,https://www.pghcitypaper.com/pittsburgh/pghwrites-free-association-reading-series/Event?oid=27367582,"Tue., March 18, 7-8 p.m.",City of Asylum @ Alphabet City,"40 W. North Ave, Pittsburgh
North Side",Literary,"The Free Association Reading series, founded by Pat Hart and Mark Nieson, showcases local writers sharing new writing and works in progress. This month’s reading spotlights writers Malcolm Culleton, Donna Wojnar Dzurilla, Catherine Gammon, and Camille Rankine. 412-435-1110"
Northside Digital Literacy Class,https://www.pghcitypaper.com/pittsburgh/northside-digital-literacy-class/Event?oid=26744493,"Third Tuesday of every month, 12:30-4:30 p.m.",CoLab18 at Nova Place,"100 S. Commons, Pittsburgh
North Side",Other Stuff,"In collaboration with the NorthSide North Shore Chamber of Commerce, NorthSide Works! and One NorthSide, the WIN Workforce Development Program is pleased to offer free or low-cost custom individual and group digital literacy classes to individuals facing economic hardship seeking to remove employment barriers and find sustainable employment. Each month we will teach basic digital literacy skills and host walk-in hours for the computer lab to help you find sustainable employment. If you are interested in attending the class, please fill out your information here: https://bit.ly/4d5LXBr 412-904-2669"
"TITANIC, THE MUSICAL",https://www.pghcitypaper.com/pittsburgh/titanic-the-musical/Event?oid=27302922,"Wed., March 19, 2 p.m., Tue., April 15, 8 p.m., Wed., April 16, 8 p.m., Thu., April 17, 8 p.m., Fri., April 18, 8 p.m., Sat., April 19, 8 p.m., Mon., April 21, 8 p.m., Tue., April 22, 8 p.m. and Wed., April 23, 8 p.m.",Purnell Center for the Arts,"4908 Forbes Ave, Pittsburgh
Oakland",Theater,"Epic and majestic, this Tony Award-winning musical captures the triumph and tragedy of the hopeful passengers on the ill-fated Ship of Dreams. Story & Book by Peter Stone Music & Lyrics by Maury Yeston Orchestrations by Ian Weinberger Directed by Telly Leung Music Directed by Michael McKelvey"
Flight Night: Ostara,https://www.pghcitypaper.com/pittsburgh/flight-night-ostara/Event?oid=27570735,"Wed., March 19, 6-7 p.m.",Kingfly Spirits,"2613 Smallman St., Pittsburgh
Strip District",Food & Drink Event,Flights of 4 mini cocktails will be paired with small bites that enhance or work in tandem to create a delicious combination of flavors. Perfect for a fun date night or friends night out to try something NEW! Seasonal ingredients will be highlighted featuring famous Strip District food vendors and you will also receive cocktail recipes to take home with you. March celebrates the return of Spring with Ostara~ a time marking rebirth and renewal when the Earth comes back into color. Fresh vegetables and tender greens become available once more and flowers and herbs bloom in a psychedelic spray.
"Celebrating the 50’s, 60’s, 70’s and 80’s and the Motown Era- “Motown Mania” Relives All Those Spectacular Sounds on March 19th at The Palace Theatre",https://www.pghcitypaper.com/pittsburgh/celebrating-the-50s-60s-70s-and-80s-and-the-motown-era-motown-mania-relives-all-those-spectacular-sounds-on-march-19th-at-the-palace/Event?oid=27512911,"Wed., March 19, 7:30-9:30 p.m.",Palace Theatre,"21 W Otterman St, Greensburg
Greensburg",Other Music,"“Motown Mania” is a high octane show guaranteed to get you singing along to the classics by Diana Ross & The Supremes, Smokey Robinson, The Temptations, Stevie Wonder, The Commodores, Gladys Knight & The Pips, Aretha Franklin, The Four Tops, Marvin Gaye, the Jackson 5, James Brown, and many more Soul and R&B artists of the 50s, 60s, 70s, and 80s. “Motown Mania” will be Wednesday, March 19th, 2025 at 7:30pm at The Palace Theatre in Greensburg. Tickets are $33., $43., $48., and $75. and can be purchased online at www.thepalacetheatre.com or by calling the Palace Theatre. 7248368000"
Accessible Tech Training @ LBPH,https://www.pghcitypaper.com/pittsburgh/accessible-tech-training-lbph/Event?oid=1960041,"Third Wednesday of every month, 1-2:30 p.m.",Library for the Blind & Physically Handicapped,"4724 Baum Blvd, Pittsburgh
Oakland",Other Stuff,"Need assistance with your smartphone or tablet? Join us for a hands-on tech training focusing on your devices accessibility options (voiceover/screen readers, magnification, enlarged fonts, etc). We can help with any operating system (iOS, Android), and any kind of device! Please bring your own device if you have one, if not, feel free to use one of ours! 412-687-2440"
,,,,,,
Pittsburgh Self-inquiry Confrontation Meeting,https://www.pghcitypaper.com/pittsburgh/pittsburgh-self-inquiry-confrontation-meeting/Event?oid=1946714,"Third Wednesday of every month, 7-9 p.m.",Friends Meeting House,"4836 Ellsworth Ave., Pittsburgh
Oakland",Other Stuff,"""Who am I?"" is a distinct search for an answer to life's Big Questions. There are ways and means to pursue, authors to be found, teachers who advise, but sincere fellow seekers can be an invaluable source of inspiration and momentum on this path. All serious inquirers are welcome to take part in our Confrontation sessions which question our thinking and rationalizations to reveal obstacles to seeing clearly. Featured: writings of Ramana Maharshi, Nisargadatta, Richard Rose, Franklin Merrell-Wolff, Douglas Harding and others 412-760-9384"
Irish Traditional Music,https://www.pghcitypaper.com/pittsburgh/irish-traditional-music/Event?oid=27466188,"Third Thursday of every month, 7:30-10 p.m.",J. Gough's Tavern,"4213 Murray Ave, Pittsburgh
Greenfield",World,All levels welcome. (412) 315-7029
CMU Chorus & Singers,https://www.pghcitypaper.com/pittsburgh/cmu-chorus-and-singers/Event?oid=26672599,"Thu., March 20, 7:30-9:30 p.m.","Alumni Concert Hall, CMU","5000 Forbes Ave, Pittsburgh
Oakland",Classical,"CMU Chorus & Singers Thomas W. Douglas, director Program: TBA Cost: Free and open to the public; Tickets required. 412-268-2383"
"Welcome Back My Friends-An Evening with Emerson, Lake & Palmer",https://www.pghcitypaper.com/pittsburgh/welcome-back-my-friends-an-evening-with-emerson-lake-and-palmer/Event?oid=27245633,"Thu., March 20, 8-9:30 p.m.",The Lamp Theatre,"222 Main Street, Irwin
North Huntingdon",Rock,"On sale Friday, December 27th at 10 AM! Coming to The Lamp Theatre, Irwin, Thursday, March 20th @ 8 PM: ""An Evening with Emerson, Lake & Palmer"" Created by Carl Palmer and his management, the show will be presented with the full cooperation of the Estates of Keith Emerson and Greg Lake. THIS IS NOT A TRIBUTE ACT- THIS IS THE REAL THING. Through modern technology they will reunite the band: Carl with his two bandmates, playing together along with Keith Emerson & Greg Lake, who both passed away in 2016. The show combines video performance of Emerson and Lake 724-367-4000"
THE INSEPARABLES,https://www.pghcitypaper.com/pittsburgh/the-inseparables/Event?oid=27302920,"Thu., March 20, 8 p.m., Fri., March 21, 8 p.m., Sat., March 22, 2 & 8 p.m., Tue., March 25, 8 p.m., Wed., March 26, 8 p.m., Thu., March 27, 8 p.m., Fri., March 28, 8 p.m. and Sat., March 29, 2 & 8 p.m.",Purnell Center for the Arts,"4908 Forbes Ave, Pittsburgh
Oakland",Theater,"An uproarious new comedy about a theater troupe desperate to put on a show, but not quite prepared, as it turns out, for their production of a new adaptation of “The Three Musketeers.” By TJ Young Directed by Robert Ramirez"
Aliquid Novi (Album Release Party),https://www.pghcitypaper.com/pittsburgh/aliquid-novi-album-release-party/Event?oid=27533782,"Thu., March 20, 8 p.m.",The Funhouse @ Mr. Smalls,"400 Lincoln Ave, Millvale
Millvale",Rock,"Mr. Smalls Presents Aliquid Novi Album Release Party Special Guests: Travis Dodge, Thick Magician Doors: 7:00 pm / Show: 8:00 pm aliquid novi is the name given to a new musical adventure formed by Pittsburgh, PA songwriter and producer Adam G. Levine. Adam formed the concept of aliquid novi in a quarantine fever dream with one singular directive - to try to find small moments of beauty and unrestricted joy in a period of isolation and confusion. 6034337465"
,,,,,,
Books in the Afternoon,https://www.pghcitypaper.com/pittsburgh/books-in-the-afternoon/Event?oid=1889843,"Third Thursday of every month, 1 & 6 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh
Oakland",Literary,Lively discussions of contemporary fiction. 412-622-3114
